orderID,Date,userName,orderType,customerName,customerContact,deliveryAddress,orderItems,totalPrice,orderStatus
ORD1779300000001,2026-04-01T11:15:22.102,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393089163:1;MI1779393126797:2;,1120.0,COMPLETED
ORD1779300000002,2026-04-01T13:42:11.456,Taiba1,DELIVERY,Zainab,03001234567,House 45 Street 2 Sector F,MI1779393189729:1;MI1779393156355:2;,1050.0,COMPLETED
ORD1779300000003,2026-04-02T12:05:05.112,Taiba1,TAKEAWAY,Ali,N/A,,MI1779393036640:2;MI1779393126797:2;,1040.0,COMPLETED
ORD1779300000004,2026-04-02T15:30:18.998,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393156355:2;,500.0,CANCELLED
ORD1779300000005,2026-04-03T18:11:34.554,Taiba1,DELIVERY,Usman,03219876543,Apartment 4B Askari Flats,MI1779393089163:1;MI1779392994043:2;,2120.0,COMPLETED
ORD1779300000006,2026-04-03T20:45:59.123,Taiba1,TAKEAWAY,Amna,N/A,,MI1779393126797:1;,220.0,COMPLETED
ORD1779300000007,2026-04-04T11:22:41.654,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779392936839:2;,1380.0,COMPLETED
ORD1779300000008,2026-04-04T14:37:12.789,Taiba1,DELIVERY,Hamza,03335554433,G11 Sector Block 4,MI1779393189729:1;,550.0,COMPLETED
ORD1779300000009,2026-04-05T16:50:23.345,Taiba1,TAKEAWAY,Sana,N/A,,MI1779393036640:1;MI1779393156355:2;,800.0,COMPLETED
ORD1779300000010,2026-04-05T19:15:01.987,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393126797:2;,440.0,COMPLETED
ORD177930000011,2026-04-06T21:42:10.111,Taiba1,DELIVERY,Bilal,03451112223,House 123 Street 5 Phase 1,MI1779393089163:1;MI1779393126797:2;,1120.0,COMPLETED
ORD177930000012,2026-04-06T10:05:33.444,Taiba1,TAKEAWAY,Kiran,N/A,,MI1779393189729:1;MI1779393036640:1;,850.0,COMPLETED
ORD177930000013,2026-04-07T13:18:22.666,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393156355:2;,500.0,COMPLETED
ORD177930000014,2026-04-07T15:55:44.888,Taiba1,DELIVERY,Omer,03123334445,Main Boulevard Gulberg House 14,MI1779392936839:2;,1380.0,COMPLETED
ORD177930000015,2026-04-08T17:23:11.222,Taiba1,TAKEAWAY,Ayesha,N/A,,MI1779393126797:1;,220.0,COMPLETED
ORD177930000016,2026-04-08T12:01:05.444,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393089163:1;MI1779392994043:2;,2120.0,COMPLETED
ORD177930000017,2026-04-09T14:40:50.555,Taiba1,DELIVERY,Fahad,03224445556,H32 Street 9 Block C,MI1779393156355:2;MI1779393036640:1;,800.0,COMPLETED
ORD177930000018,2026-04-09T16:12:19.777,Taiba1,TAKEAWAY,Hania,N/A,,MI1779393189729:1;,550.0,CANCELLED
ORD177930000019,2026-04-10T19:34:02.999,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393126797:2;,440.0,COMPLETED
ORD177930000020,2026-04-10T21:50:55.222,Taiba1,DELIVERY,Zayd,03015556667,Flat 12 Sector G9,MI1779392936839:2;,1380.0,COMPLETED
ORD177930000021,2026-04-11T23:10:44.333,Taiba1,TAKEAWAY,Mariam,N/A,,MI1779393089163:1;,680.0,COMPLETED
ORD177930000022,2026-04-11T11:15:23.666,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393156355:2;MI1779393126797:2;,940.0,COMPLETED
ORD177930000023,2026-04-12T13:42:11.888,Taiba1,DELIVERY,Saad,03346667778,House 88 Street 11 Phase 4,MI1779393036640:2;,600.0,COMPLETED
ORD177930000024,2026-04-12T16:05:39.111,Taiba1,TAKEAWAY,Fatima,N/A,,MI1779393189729:1;MI1779393126797:1;,770.0,COMPLETED
ORD177930000025,2026-04-13T18:22:44.333,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393089163:1;,680.0,COMPLETED
ORD177930000026,2026-04-13T20:45:12.555,Taiba1,DELIVERY,Mustafa,03057778889,H21 Block E Satellite Town,MI1779392994043:2;,1440.0,COMPLETED
ORD177930000027,2026-04-14T22:15:30.777,Taiba1,TAKEAWAY,Zoya,N/A,,MI1779393156355:2;,500.0,COMPLETED
ORD177930000028,2026-04-14T09:30:15.123,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393126797:2;,440.0,COMPLETED
ORD177930000029,2026-04-15T12:12:40.456,Taiba1,DELIVERY,Haris,03118889990,House 19 Street 3 Block A,MI1779393089163:1;MI1779393189729:1;,1230.0,COMPLETED
